Number,Code,Name,Lat,Lon,State,Category,fuel type,name-sheet,state-sheet,,,,,,,
228,341,Long Beach Generation LLC,33.7641,-118.225,CA,EXCLUDE,NG,Long Beach Generation LLC,CA,,,,,,,
229,342,Lundy,38.04273,-119.172,CA,EXCLUDE,WAT,Lundy,CA,,,,,,,
230,344,Mammoth Pool,37.2203,-119.338,CA,EXCLUDE,WAT,Mammoth Pool,CA,,,,,,,
231,345,Mandalay,34.2067,-119.251,CA,EXCLUDE,NG,Mandalay,CA,,,,,,,
232,350,Ormond Beach,34.1292,-119.169,CA,OGST,NG,Ormond Beach,CA,,,,,,,
233,353,Poole,37.94424,-119.216,CA,EXCLUDE,WAT,Poole,CA,,,,,,,
234,354,Portal,37.25705,-119.159,CA,EXCLUDE,WAT,Portal,CA,,,,,,,
235,356,AES Redondo Beach LLC,33.8504,-118.395,CA,OGST,NG,AES Redondo Beach LLC,CA,,,,,,,
236,357,Rush Creek,37.76695,-119.123,CA,EXCLUDE,WAT,Rush Creek,CA,,,,,,,
237,358,Mountainview Generating Station,34.0818,-117.242,CA,EXCLUDE,NG,Mountainview Generating Station,CA,,,,,,,
238,360,San Onofre Nuclear Generating Station,33.36879,-117.555,CA,EXCLUDE,NUC,San Onofre Nuclear Generating Station,CA,,,,,,,
239,361,Santa Ana,34.14522,-117.058,CA,EXCLUDE,WAT,Santa Ana 1,CA,,,,,,,
240,363,Santa Ana,34.10725,-117.099,CA,EXCLUDE,WAT,Santa Ana 3,CA,,,,,,,
241,365,Lower Tule River,36.13568,-118.789,CA,EXCLUDE,WAT,Tule River,CA,,,,,,,
242,371,Columbia Generating Station,46.4711,-119.334,WA,EXCLUDE,NUC,Columbia Generating Station,WA,,,,,,,
243,375,Magnolia,34.17806,-118.316,CA,EXCLUDE,NG,Magnolia,CA,,,,,,,
244,376,Pardee,38.2569,-120.851,CA,EXCLUDE,WAT,Pardee,CA,,,,,,,
245,377,Grayson,34.1556,-118.278,CA,NGCC,NG,Grayson,CA,,,,,,,
246,378,Prairie River,47.28721,-93.4983,MN,EXCLUDE,WAT,Prairie River,MN,,,,,,,
247,380,Dion R Holm,37.89665,-119.968,CA,EXCLUDE,WAT,Dion R Holm,CA,,,,,,,
248,381,Moccasin,37.80939,-120.299,CA,EXCLUDE,WAT,Moccasin,CA,,,,,,,
249,382,R C Kirkwood,37.87767,-119.953,CA,EXCLUDE,WAT,R C Kirkwood,CA,,,,,,,
250,383,Brawley,32.96889,-115.534,CA,EXCLUDE,DFO,Brawley,CA,,,,,,,
251,384,Joliet,41.49464,-88.1238,IL,COALST,SUB,Joliet 29,IL,,,,,,,
252,385,Drop,32.70544,-115.031,CA,EXCLUDE,WAT,Drop 2,CA,,,,,,,
253,386,Drop,32.70543,-115.126,CA,EXCLUDE,WAT,Drop 3,CA,,,,,,,
254,387,Drop,32.70534,-115.219,CA,EXCLUDE,WAT,Drop 4,CA,,,,,,,
255,388,Pilot Knob,32.73664,-114.714,CA,EXCLUDE,WAT,Pilot Knob,CA,,,,,,,
256,389,El Centro,32.80222,-115.54,CA,NGCC,NG,El Centro,CA,,,,,,,
