ORIS Code,Fuel,FuelSimplified,Category,Generation,CarbonDioxide,AnnualCapacity,CapFactor,Lat,Lon,Name,State,popup,,,,,,,,Fuel Category,Simplification,https://www.eia.gov/survey/form/eia_860/instructions.pdf,
150,WAT,Hydro,EXCLUDE,40799,0,113958,0.358017866,33.57,-111.54,Stewart Mountain,Arizona,Plant Name =  Stewart Mountain  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
152,WAT,Hydro,EXCLUDE,1149200.98,0,2233576.8,0.514511514,35.2,-114.57,Davis Dam,Arizona,Plant Name =  Davis Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
153,WAT,Hydro,EXCLUDE,3658362.99,0,11500992,0.318091082,36.94,-111.48,Glen Canyon Dam,Arizona,Plant Name =  Glen Canyon Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
160,SUB,Coal,COALST,1624624,1858329.33,5791696.2,0.280509188,32.06,-109.89,Apache Station,Arizona,Plant Name =  Apache Station  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
161,WAT,Hydro,EXCLUDE,7760.01,0,28927.8,0.268254413,37.61,-120.59,Turlock Lake,California,Plant Name =  Turlock Lake  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
162,WAT,Hydro,EXCLUDE,3957,0,8766,0.451403149,37.62,-120.75,Hickman,California,Plant Name =  Hickman  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
165,SUB,Coal,COALST,5054733,6448235.16,9940644,0.508491502,36.19,-95.29,GRDA,Oklahoma,Plant Name =  GRDA  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
166,WAT,Hydro,EXCLUDE,81049,0,490896,0.165104218,34.44,-93.03,Carpenter,Arkansas,Plant Name =  Carpenter  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
167,NG,Natural Gas,OGST,2581,3234.76,2024946,0.001274602,34.75,-92.2,Cecil Lynch,Arkansas,Plant Name =  Cecil Lynch  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
170,NG,Natural Gas,OGST,612934,439052.39,6592032,0.092981041,34.43,-92.9,Lake Catherine,Arkansas,Plant Name =  Lake Catherine  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
171,NG,Natural Gas,EXCLUDE,1582,2481.48,683748,0.002313718,34.64,-92.41,Mabelvale,Arkansas,Plant Name =  Mabelvale  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,,,,
174,WAT,Hydro,EXCLUDE,27177,0,78894,0.344474865,34.43,-92.89,Remmel,Arkansas,Plant Name =  Remmel  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
180,WAT,Hydro,EXCLUDE,3006,0,8766,0.342915811,40.45,-121.86,Volta 2,California,Plant Name =  Volta 2  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
187,WAT,Hydro,EXCLUDE,46665,0,596088,0.078285421,34.21,-93.11,Degray,Arkansas,Plant Name =  Degray  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
188,WAT,Hydro,EXCLUDE,158840,0,841536,0.188750095,35.52,-92,Greers Ferry Lake,Arkansas,Plant Name =  Greers Ferry Lake  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
196,WAT,Hydro,EXCLUDE,154430,0,704786.4,0.219116033,36.25,-92.24,Norfork,Arkansas,Plant Name =  Norfork  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
197,WAT,Hydro,EXCLUDE,133365,0,657450,0.202851928,34.57,-93.19,Blakely Mountain,Arkansas,Plant Name =  Blakely Mountain  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
198,WAT,Hydro,EXCLUDE,493696,0,2980440,0.165645341,36.36,-92.58,Bull Shoals,Arkansas,Plant Name =  Bull Shoals  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
199,WAT,Hydro,EXCLUDE,347751,0,1409572.8,0.246706662,35.25,-93.17,Dardanelle,Arkansas,Plant Name =  Dardanelle  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
201,NG,Natural Gas,NGCC,114459,64817.56,1621710,0.070579203,35.46,-93.8,Thomas Fitzhugh,Arkansas,Plant Name =  Thomas Fitzhugh  Fuel Type =  NG  CPP Category =  NGCC,,,,,,,,,,,
202,NG,Natural Gas,OGST,46502,35551.23,1051920,0.044206784,35.26,-91.36,Carl Bailey,Arkansas,Plant Name =  Carl Bailey  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
204,NUC,Nuclear,EXCLUDE,9373726,0,9978337.8,0.939407563,40.17,-88.83,Clinton Power Station,Illinois,Plant Name =  Clinton Power Station  Fuel Type =  NUC  CPP Category =  EXCLUDE,,,,,,,,,,,
207,BIT,Coal,COALST,6215399,6858097.59,11904228,0.522116932,30.43,-81.55,St Johns River Power Park,Florida,Plant Name =  St Johns River Power Park  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,,,,
210,NUC,Nuclear,EXCLUDE,8284924,0,11112658.2,0.745539353,38.24,-95.69,Wolf Creek Generating Station,Kansas,Plant Name =  Wolf Creek Generating Station  Fuel Type =  NUC  CPP Category =  EXCLUDE,,,,,,,,,,,
214,WAT,Hydro,EXCLUDE,3791,0,17532,0.216233174,39.22,-120.8,Alta Powerhouse,California,Plant Name =  Alta Powerhouse  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
215,WAT,Hydro,EXCLUDE,5772,0,12272.4,0.470323653,38.07,-120.54,Angels,California,Plant Name =  Angels  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
217,WAT,Hydro,EXCLUDE,104804,0,271746,0.38566897,36.91,-119.09,Balch 1,California,Plant Name =  Balch 1  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
218,WAT,Hydro,EXCLUDE,278910,0,852055.2,0.327337947,36.91,-119.09,Balch 2,California,Plant Name =  Balch 2  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
219,WAT,Hydro,EXCLUDE,202966,0,1033511.4,0.196384868,40.01,-121.25,Belden,California,Plant Name =  Belden  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
220,WAT,Hydro,EXCLUDE,188697,0,578556,0.32615166,39.91,-121.33,Bucks Creek,California,Plant Name =  Bucks Creek  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
221,WAT,Hydro,EXCLUDE,104855,0,350640,0.2990389,40.18,-121.19,Butt Valley,California,Plant Name =  Butt Valley  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
222,WAT,Hydro,EXCLUDE,85756.99,0,646930.8,0.132559758,40.09,-121.15,Caribou 1,California,Plant Name =  Caribou 1  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
223,WAT,Hydro,EXCLUDE,354623,0,1033511.4,0.34312442,40.09,-121.15,Caribou 2,California,Plant Name =  Caribou 2  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
225,WAT,Hydro,EXCLUDE,24013,0,61362,0.391333399,38.77,-120.81,Chili Bar,California,Plant Name =  Chili Bar  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
228,NG,Natural Gas,OGST,131370,95837.3,6293988,0.020872299,38.02,-121.76,Contra Costa,California,Plant Name =  Contra Costa  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
229,WAT,Hydro,EXCLUDE,4206,0,12272.4,0.34272025,40.57,-122.02,Cow Creek,California,Plant Name =  Cow Creek  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
231,WAT,Hydro,EXCLUDE,220162,0,646930.8,0.340317697,39.83,-121.41,Cresta,California,Plant Name =  Cresta  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
232,WAT,Hydro,EXCLUDE,75349,0,161294.4,0.46715199,39.87,-121.63,De Sabla,California,Plant Name =  De Sabla  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
235,WAT,Hydro,EXCLUDE,34840,0,431287.2,0.080781438,39.26,-120.77,Drum 1,California,Plant Name =  Drum 1  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
236,WAT,Hydro,EXCLUDE,271751,0,465474.6,0.583814885,39.26,-120.77,Drum 2,California,Plant Name =  Drum 2  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
237,WAT,Hydro,EXCLUDE,105095,0,192852,0.544951569,39.22,-120.84,Dutch Flat,California,Plant Name =  Dutch Flat  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
238,WAT,Hydro,EXCLUDE,67329,0,175320,0.384034908,38.79,-120.62,El Dorado,California,Plant Name =  El Dorado  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
239,WAT,Hydro,EXCLUDE,337179,0,898515,0.375262516,38.33,-120.67,Electra,California,Plant Name =  Electra  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
240,WAT,Hydro,EXCLUDE,288548,0,1183410,0.243827583,36.93,-119.02,Haas,California,Plant Name =  Haas  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
241,WAT,Hydro,EXCLUDE,38620,0,119217.6,0.323945458,38.96,-121.04,Halsey,California,Plant Name =  Halsey  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
242,WAT,Hydro,EXCLUDE,11009,0,46459.8,0.236957542,40.27,-121.09,Hamilton Branch,California,Plant Name =  Hamilton Branch  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
243,WAT,Hydro,EXCLUDE,6614,0,87660,0.075450605,40.93,-121.54,Hat Creek 1,California,Plant Name =  Hat Creek 1  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
244,WAT,Hydro,EXCLUDE,38652,0,87660,0.440930869,40.96,-121.55,Hat Creek 2,California,Plant Name =  Hat Creek 2  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
248,WAT,Hydro,EXCLUDE,36571,0,66621.6,0.548936081,40.4,-121.97,Inskip,California,Plant Name =  Inskip  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
249,WAT,Hydro,EXCLUDE,626587,0,1477947.6,0.423957521,40.99,-121.98,James B Black,California,Plant Name =  James B Black  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
253,WAT,Hydro,EXCLUDE,14916,0,26298,0.567191421,40.68,-121.87,Kilarc,California,Plant Name =  Kilarc  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
255,WAT,Hydro,EXCLUDE,4455,0,17532,0.254106776,39.7,-121.57,Lime Saddle,California,Plant Name =  Lime Saddle  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
258,WAT,Hydro,EXCLUDE,10249,0,29804.4,0.343875401,37.52,-120.33,Merced Falls,California,Plant Name =  Merced Falls  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
